Active Inference Ontology 23/12/18,Term,Proposed Definition 1,Proposed Definition 2
Core,Accuracy,Broad sense: how “close to the mark” an Estimator is.,"Narrow sense: the expected or realized extent of Surprise on an estimation, usually about Sense State reflecting theRecognition density"
Core,Action,"Broad sense: The dynamics, mechanisms, and measurements of Behavior",Narrow sense: The sequence of Active States  enacted by an Agent  via Policy selection from Affordance
Core,Action Planning,The selection of an Affordance based upon Inference of Expected Free Energy,
Core,Action Prediction,Inference on current and future Expectation  of Action,
Core,Active Inference,Active Inference is a Process Theory related to Free Energy Principle .,
Core,Active States,"In the Friston Blanket formalism, the Blanket State are the Sense State (incoming Sensory input) and Active States (outgoing influence of Policy selection )",
Core,Affordance,Options or capacities for Action by an Agent (sometimes called “Affordance 3.0”),"From Ecological Psychology, the Perception of a possibility for Action (sometimes called “Affordance 2.0”)."
Core,Agency,The ability of an Agent to engage in Action in their Niche and enact Goal-driven selection or Policy selection  based upon Preference,
Core,Agent,"Entity as modeled by Active Inference , with Internal State separated from External State by Blanket State",
Core,Ambiguity,"Broad sense: Extent to which stimuli have multiple plausible interpretations, requiring priors &/or Action for disambiguation","Narrow sense: Specific model parameter used to model Uncertainty, usually about sensory Perception ."
Core,Attention,"Broad sense: Generative Model that is aware of some Stimulus, reflected by its Salience","Narrow sense: Attention modulates the  the confidence on the Precision of Sense State, reflecting Sensory input"
Core,Bayesian Inference,"As opposed to frequentist analysis, Bayesian Inference uses a specified Prior or Empirical prior to Update the distributional Posterior",
Core,Behavior,The sequence of Action that an Agent is observed to enact.,
Core,Belief,"Broad sense: Felt sense by an Agent of something being true, or confidence it is the case.",Narrow sense: the State of a Random variable in a Bayesian Inference scheme.
Core,Belief updating,Belief updating is changes in a Bayesian Inference Belief through time.,
Core,Blanket State,Set of states in the Markov Blanket Partition that make Internal State and External State have Conditional Probability that are independent.,
Core,Cognition,An Agent modifying the weights of its Internal State for the purpose of Action Planning and/or Belief updating . (This is a @realistCounterpart of Goal-driven selection .),
Core,Complexity,The extent to which an Agent must revise a Belief to explain incoming Sensory observations.,The Kullback-Leibler Divergence between the Prior and Posterior which is used in Bayesian model selection to find the simplest (least complex) model and avoid overfitting on the noise inherent in Sensory observations.
Core,Cue,"a Stimulus , event,  object , or Guidance signal  that serves to guide Behavior , such as a retrieval cue, or that acts as a @Signal to the presentation of another stimulus, event, or object, such as an unconditioned stimulus or reinforcement. (dictionary.apa.org)",
Core,Culture,"Culture is the Niche for social Agent, that structures their Regime of Attention",
Core,Data,Data are a set of values of qualitative or quantitative variables about one or more Agent  or object .,
Core,Ensemble,Group of more than one Agent.,
Core,Epistemic value,"is the value of Information gain or Expectation of reduction in Uncertainty about a State  with respect to a Policy, used in Policy selection",
Core,Evidence,Data as recognized and interpreted by Generative Model of Agent,
Core,Expectation,"Within a Bayesian Inference framework, Expectation is an Estimator about future timesteps",
Core,Expected Free Energy,"Measure for performing Inference on Action over a given time horizon (Policy selection , Action and Planning as Divergence Minimization ).","The two components of Expected Free Energy are the imperative to  satisfy Preferences, and the penalty for failing to minimize Expectation  of Surprisal."
Core,External State,"States with Conditional density independent from Internal State, conditioned on Blanket State.",
Core,Free Energy,Free Energy is an Information Theoretic quantity that constitutes an upper bound on Surprisal .,"Free Energy can refer to various or multiple sub-types of Free Energy:
Variational Free Energy
Expected Free Energy
Free Energy of the Expected Future
Helmholtz Free Energy
…"
Core,Free Energy Principle,"A generalization of Predictive Coding (PC) according to which organisms minimize an upper bound on the Entropy of Sensory input  (or sensory signals) (the Free Energy). Under specific assumptions, Free Energy translates toPrediction error .",A set of statistical principles that describe how Agents can maintain their self-organization  in the face of random fluctuations from the environment.
Core,Friston Blanket,Markov Blanket with partitioned Active States and Sense State .,
Core,Generalized Free Energy,Past Variational Free Energy plus future Expected Free Energy (each totaled over Policy).,
Core,Generative Model,"A formalism that describes the mapping between Hidden State, and Expectations of Action Prediction , Sensory outcome .","Recognition Model Update Internal State parameter  that correspond to External State  (including Hidden State causes of environment  states), Blanket State , and Internal State  (meta-modeling). In contrast, Generative Model  take those same Internal State  parameter  Estimator  and emit expected or plausible observations."
Core,Generative Process,Underlying @dynamical process in the Niche giving rise to Agent Observation and @agent Action Prediction,Enactive ecological process using morphological computing processes where the Niche Regime of Attention @morphogenesis and generative model interact to create an embodied learning dyanamic.
Core,Hidden State,"Unobserved variable in Bayesian Inference , can reflect a Latent cause .",
Core,Hierarchical Model,"A hierarchy of Estimators, which operate at different spatiotemporal timescales (so they track features at different scales); all carrying out Predictive Processing",
